"Banners","Banners"
"Add New Banner","Adicionar Novo Banner"
"Edit banner #%1","Editar banner #%1"
"New banner","Novo banner"
"Save Banner","Salvar Banner"
"Delete Banner","Excluir Banner"
"Delete items","Excluir Itens"
"Delete","Excluir"
"Edit","Editar"
"Delete %1","Excluir %1"
"Are you sure you want to delete selected items?","Tem certeza de que deseja excluir os itens selecionados?"
"Are you sure you want to delete a %1 record?","Tem certeza de que deseja excluir %1 registro(s)?"
"Are you sure you want to delete selected items? (%1 record)","Tem certeza de que deseja excluir os itens selecionados?  (%1 registro(s))"
"All Store Views","Todas as Visões de Loja"
"Select...","Selecione..."
"Enabled","Habilitado"
"Disabled","Desabilitado"
"Products","Produtos"
"Categories","Categorias"
"Pages","Páginas"
"Custom","Personalizado"
"Image","Imagem"
"Name","Nome"
"Title","Título"
"Position","Posição"
"Display On Page","Exibir na página"
"Display On Id","Exibir no Id"
"Customer Group","Grupo de clientes"
"Store View","Visão de Loja"
"Status","Situação"
"Sort Order","Ordenação"
"Display From Date","Exibir a partir da data"
"Display To Date","Exibir até a data"
"Created","Criado"
"Modified","Modificado"
"Enable Banner","Ativar Banner?"
"Open in new tab?","Abrir em outra aba?"
"Display On","Exibir em"
"All pages","Todas as páginas"
"CMS Page","Página CMS"
"List","Lista"
"Banners for PWA","Banners para o PWA"
"Static","Estático"
"Slider Settings","Configurações do Slider"
"Position Desktop","Posição para Desktop"
"Position Mobile","Posição para Dispositivo Móvel"